Vehicle_Model,Engine_Displacement_L,Engine_Cylinders,Transmission_Type,Drive,Fuel,Cert_Region,Veh_Class,Air_Pollution_Score,City_Mpg,Hwy_Mpg,Combined_Mpg,Greenhouse_Gas_Score,Smartway,Combined_Co2
BMW 440i Gran Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,21,32,25,5,No,352
BMW 440i Gran Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,21,31,25,5,No,357
BMW 440i Gran Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,21,31,25,5,No,357
BMW 530i,2.0,4,SemiAuto-8,2WD,Gasoline,CA,midsize car,7.0,24,34,27,6,No,324
BMW 530i,2.0,4,SemiAuto-8,2WD,Gasoline,FA,midsize car,7.0,24,34,27,6,No,324
BMW 530i,2.0,4,SemiAuto-8,4WD,Gasoline,CA,midsize car,7.0,23,33,27,6,No,333
BMW 530i,2.0,4,SemiAuto-8,4WD,Gasoline,FA,midsize car,7.0,23,33,27,6,No,333
BMW 540d,3.0,6,SemiAuto-8,4WD,Diesel,CA,midsize car,3.0,26,36,30,5,No,341
BMW 540d,3.0,6,SemiAuto-8,4WD,Diesel,FA,midsize car,3.0,26,36,30,5,No,341
BMW 540i,3.0,6,SemiAuto-8,2WD,Gasoline,CA,midsize car,5.0,21,30,24,5,No,367
BMW 540i,3.0,6,SemiAuto-8,2WD,Gasoline,FA,midsize car,5.0,21,30,24,5,No,367
BMW 540i,3.0,6,SemiAuto-8,4WD,Gasoline,CA,midsize car,5.0,20,29,23,5,No,380
BMW 540i,3.0,6,SemiAuto-8,4WD,Gasoline,FA,midsize car,5.0,20,29,23,5,No,380
BMW 640i Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,20,29,23,5,No,378
BMW 640i Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,20,29,23,5,No,378
BMW 640i Convertible,3.0,6,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,19,28,22,4,No,396
BMW 640i Convertible,3.0,6,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,19,28,22,4,No,396
BMW 640i Gran Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,20,29,23,5,No,378
